Model,Fold,Target,Requested,Valid,Undefined,Undefined rate,catalogue_item_id,source_artifact_id,source_field_path,source_sha256
Mixed-type CEM,2,malignancy,539,213,326,0.605,RES-P9-GRADCAM-MIXED_CEM-FOLD2-MALIGNANCY,ART-P9-SPATIAL,models.mixed_cem.folds[2].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,2,margin,539,539,0,0.000,RES-P9-GRADCAM-MIXED_CEM-FOLD2-MARGIN,ART-P9-SPATIAL,models.mixed_cem.folds[2].targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,2,sphericity,539,538,1,0.002,RES-P9-GRADCAM-MIXED_CEM-FOLD2-SPHERICITY,ART-P9-SPATIAL,models.mixed_cem.folds[2].targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,2,spiculation,539,539,0,0.000,RES-P9-GRADCAM-MIXED_CEM-FOLD2-SPICULATION,ART-P9-SPATIAL,models.mixed_cem.folds[2].targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,2,subtlety,539,538,1,0.002,RES-P9-GRADCAM-MIXED_CEM-FOLD2-SUBTLETY,ART-P9-SPATIAL,models.mixed_cem.folds[2].targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,2,texture,539,539,0,0.000,RES-P9-GRADCAM-MIXED_CEM-FOLD2-TEXTURE,ART-P9-SPATIAL,models.mixed_cem.folds[2].targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,3,calcification,549,481,68,0.124,RES-P9-GRADCAM-MIXED_CEM-FOLD3-CALCIFICATION,ART-P9-SPATIAL,models.mixed_cem.folds[3].targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,3,internalStructure,549,549,0,0.000,RES-P9-GRADCAM-MIXED_CEM-FOLD3-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.mixed_cem.folds[3].targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,3,lobulation,549,537,12,0.022,RES-P9-GRADCAM-MIXED_CEM-FOLD3-LOBULATION,ART-P9-SPATIAL,models.mixed_cem.folds[3].targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Mixed-type CEM,3,malignancy,549,431,118,0.215,RES-P9-GRADCAM-MIXED_CEM-FOLD3-MALIGNANCY,ART-P9-SPATIAL,models.mixed_cem.folds[3].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
