model,scope,fold,target,quantity,sample_count,saliency_mean,saliency_sd,saliency_median,saliency_minus_random_mean,saliency_greater_than_random_rate
Mixed-type CEM,fold_target,2,spiculation,output_sensitivity,539,0.04225621783003515,0.05739305504312057,0.0172884464263916,-0.44540201773891197,0.027829313543599257
Mixed-type CEM,fold_target,2,spiculation,error_increase,539,-0.035510714841464015,0.06179433504723775,-0.01144629716873169,0.3828972383200127,0.8905380333951762
Mixed-type CEM,fold_target,2,subtlety,output_sensitivity,538,0.04237461572021357,0.03704935191340194,0.032517075538635254,-0.9670131977993758,0.0
Mixed-type CEM,fold_target,2,subtlety,error_increase,538,0.0023615312805258504,0.05388553975082119,-0.00104580819606781,-0.7486338558416383,0.06691449814126393
Mixed-type CEM,fold_target,2,texture,output_sensitivity,539,0.030631155052078897,0.03749430314125921,0.014955997467041016,-0.36353616050422083,0.04638218923933209
Mixed-type CEM,fold_target,2,texture,error_increase,539,-0.021894674907146448,0.04263577542889735,-0.010639190673828125,-0.3829151490900202,0.23376623376623376
Mixed-type CEM,fold_target,3,calcification,output_sensitivity,481,0.05352520000909817,0.05819176888166999,0.03646421432495117,-0.24177842061393534,0.12474012474012475
Mixed-type CEM,fold_target,3,calcification,error_increase,481,-0.019964766023230076,0.07620920860157737,-0.011827588081359863,-0.2477412476819409,0.09147609147609148
Mixed-type CEM,fold_target,3,internalStructure,output_sensitivity,549,0.05607138261986126,0.04090103583494567,0.05433917045593262,-0.21051215755266353,0.30965391621129323
Mixed-type CEM,fold_target,3,internalStructure,error_increase,549,-0.05292635797802868,0.04489649554760315,-0.05315291881561279,-0.28569759557155966,0.1111111111111111
Mixed-type CEM,fold_target,3,lobulation,output_sensitivity,537,0.08631944401082157,0.07953932466737226,0.06892681121826172,-0.5084846615957815,0.0297951582867784
Mixed-type CEM,fold_target,3,lobulation,error_increase,537,-0.08612400892726536,0.07975089760733313,-0.06892681121826172,0.44829203261676454,0.888268156424581
Mixed-type CEM,fold_target,3,malignancy,output_sensitivity,431,0.028556733031318525,0.025136447002212042,0.022362500429153442,-0.30664308901936715,0.004640371229698376
Mixed-type CEM,fold_target,3,malignancy,error_increase,431,0.004087513082207678,0.037141947155125477,0.0015281438827514648,-0.2259721376906507,0.1716937354988399
Mixed-type CEM,fold_target,3,margin,output_sensitivity,549,0.04589762067751372,0.05353804295836299,0.026375889778137207,-0.31930195547518186,0.122040072859745
Mixed-type CEM,fold_target,3,margin,error_increase,549,-0.011015628476394765,0.06406597800794807,-0.0018070340156555176,-0.30417048706202054,0.19489981785063754
Mixed-type CEM,fold_target,3,sphericity,output_sensitivity,548,0.01399281558437939,0.014887485946774059,0.008629821240901947,-0.07964756806877298,0.05656934306569343
Mixed-type CEM,fold_target,3,sphericity,error_increase,548,-0.00837080303008539,0.018637751538888997,-0.005285568535327911,-0.10176092223026348,0.0036496350364963502
Mixed-type CEM,fold_target,3,spiculation,output_sensitivity,549,0.0657680619826951,0.051146229161722,0.05756068229675293,-0.32393578227697606,0.029143897996357013
Mixed-type CEM,fold_target,3,spiculation,error_increase,549,-0.06521827025925961,0.05184546227793883,-0.05756068229675293,0.30206702531524043,0.9180327868852459
Mixed-type CEM,fold_target,3,subtlety,output_sensitivity,549,0.020740917743012337,0.025578586691981396,0.011439621448516846,-0.09448746907200752,0.1384335154826958
Mixed-type CEM,fold_target,3,subtlety,error_increase,549,0.006648634138003073,0.030047576658663002,0.00019931793212890625,-0.030950399094193944,0.44990892531876137
Mixed-type CEM,fold_target,3,texture,output_sensitivity,542,0.023537225388952726,0.02687140574660821,0.015544414520263672,-0.091906590748757,0.11070110701107011
